# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2795
#@/user_id	c4e4d588-8969-45dd-ab6e-a3afd9cb4349
dong 	動	c=2 d=1.03936 t=2196
dong 	懂	c=1 d=1 t=1591
dong xi 	東西	c=7 d=0.71717 t=2795
dou 	都	c=4 d=0.0941517 t=2795
dou bu 	都不	c=0 d=0.1 t=2450
dou bu yao xiang 	都不要想	c=1 d=1 t=2451
dou guo qu 	都過去	c=1 d=1 t=2567
dou hai xing 	都還行	c=1 d=0.647265 t=2795
dou ke yi 	都可以	c=2 d=0.0492932 t=2795
dou mei 	都沒	c=1 d=0.148801 t=2038
dou mei xie 	都沒寫	c=1 d=1 t=2039
dou neng 	都能	c=1 d=1 t=2734
dou shan 	都刪	c=0 d=0.00387742 t=2795
dou shan le 	都刪了	c=1 d=0.0389686 t=2795
dou xie bo ke 	都寫博客	c=1 d=1 t=2213
dou xu yao 	都需要	c=2 d=1.11192 t=1385
du 	讀	c=1 d=1 t=2601
du cu 	督促	c=1 d=1 t=2656
du le 	讀了	c=1 d=1 t=2606
du qu 	讀取	c=1 d=1 t=876
duan kou 	端口	c=3 d=0.990693 t=2795
dui 	對	c=3 d=0.785911 t=2795
dui de 	對的	c=1 d=1.18233 t=761
dui jiao xian 	對角線	c=0 d=0.1 t=2583
dui me 	對麼	c=4 d=0.878368 t=2795
dui qi 	對齊	c=1 d=1 t=963
duo 	多	c=2 d=0.460708 t=2795
duo ge 	多個	c=1 d=1 t=1932
duo hao 	多好	c=0 d=0.0257947 t=2795
duo kui 	多虧	c=0 d=0.1 t=2159
duo kui ji ben 	多虧基本	c=1 d=1 t=2160
duo shao 	多少	c=0 d=0.1 t=2446
duo shu 	多數	c=1 d=1 t=1134
duo xian cheng 	多線程	c=1 d=1 t=2287
duo yi xie 	多一些	c=1 d=1 t=753
e mo 	惡魔	c=1 d=0.99005 t=2795
e wai 	額外	c=1 d=1 t=1728
eh 	誒	c=1 d=0.0884781 t=2795
en 	恩	c=0 d=0.1 t=2250
er 	二	c=2 d=0.278037 t=2795
er qie 	而且	c=2 d=0.085435 t=2795
er wei ma 	二維碼	c=2 d=1.99005 t=1477
fa 	法	c=2 d=1.00183 t=2292
fa jue 	發覺	c=1 d=0.0468877 t=2795
fa sheng 	發生	c=1 d=1 t=890
fa sheng qi 	發生器	c=1 d=0.17552 t=2795
fa xian 	發現	c=8 d=0.730656 t=2795
fan 	反	c=1 d=1.03239 t=1485
fan hui 	返回	c=3 d=0.332523 t=2795
fan hui bian 	反彙編	c=2 d=1.99501 t=1487
fan hui de 	返回的	c=1 d=1 t=1350
fan hui han shu 	返回函數	c=1 d=0.299692 t=2795
fan hui yi ge zi fu chuan 	返回一個字符串	c=1 d=1 t=1285
fan yi 	翻譯	c=2 d=1.0773 t=2571
fan zhuan 	翻轉	c=1 d=0.143704 t=2795
fang an 	方案	c=3 d=1.32549 t=2795
fang dao 	放到	c=1 d=0.0500366 t=2795
fang huo qiang 	防火牆	c=1 d=1 t=1758
fang mian 	方面	c=0 d=0.1 t=1963
fang qi 	放棄	c=3 d=0.358796 t=2795
fang qi le 	放棄了	c=2 d=1.75957 t=2609
fang wen 	訪問	c=2 d=1.58596 t=1948
fang xiang 	方向	c=2 d=1.98511 t=2302
fei chang 	非常	c=3 d=0.31242 t=2795
fen 	分	c=1 d=1 t=2405
fen 	粉	c=1 d=1 t=2226
fen ceng 	分層	c=1 d=1 t=1981
fen pei 	分配	c=0 d=0.1 t=1967
fen qu 	分區	c=5 d=1.09255 t=2795
fen wei 	分爲	c=1 d=1 t=2358
fen xiang 	分享	c=1 d=1 t=2133
fen zhi 	分支	c=2 d=1.04221 t=1413
fen zhong 	分鐘	c=1 d=1 t=1693
feng 	風	c=0 d=0.0442639 t=2795
fo ru 	佛如	c=0 d=0.0025223 t=2795
fo ru ni ma neng 	佛如你媽能	c=1 d=0.0253494 t=2795
fu ben 	副本	c=3 d=2.1226 t=2203
fu hao 	符號	c=3 d=0.632887 t=2795
fu le 	服了	c=0 d=0.1 t=1223
fu wu 	服務	c=2 d=1.00215 t=2320
fu wu duan 	服務端	c=7 d=0.818731 t=2795
